model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A4,10.46270326045021,Automatic,2.3978952727983707,Diesel,145.0,53.3,2.0,Audi,1.0986122886681098
 A7,10.515356887954205,Semi-Auto,2.3978952727983707,Diesel,145.0,38.2,3.0,Audi,1.0986122886681098
 A6,10.488381147655819,Automatic,7.601402334583733,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
 Q2,10.203073491990732,Automatic,2.3978952727983707,Petrol,145.0,43.5,1.5,Audi,1.0986122886681098
 A6,10.515356887954205,Automatic,8.163656176168432,Diesel,145.0,36.2,3.0,Audi,1.0986122886681098
 A3,10.085225605791667,Automatic,2.3978952727983707,Petrol,145.0,44.8,1.5,Audi,1.0986122886681098
 A5,10.274568233782462,Automatic,2.3978952727983707,Petrol,145.0,39.8,2.0,Audi,1.0986122886681098
 A5,10.239459664115659,Automatic,6.918695219020472,Petrol,145.0,39.8,2.0,Audi,1.0986122886681098
 A6,10.274568233782462,Semi-Auto,6.2166061010848646,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
 A4,10.308485885054848,Automatic,2.3978952727983707,Petrol,145.0,42.8,2.0,Audi,1.0986122886681098
 A3,9.998615897627705,Manual,2.3978952727983707,Diesel,145.0,54.3,1.6,Audi,1.0986122886681098
 A5,10.373053586050816,Automatic,2.3978952727983707,Petrol,145.0,39.8,2.0,Audi,1.0986122886681098
 A5,10.38856450627934,Automatic,2.3978952727983707,Diesel,145.0,51.4,2.0,Audi,1.0986122886681098
 A3,9.96580485860099,Manual,2.3978952727983707,Diesel,145.0,51.4,1.6,Audi,1.0986122886681098
 Q7,10.515356887954205,Automatic,7.32052696227274,Diesel,145.0,33.2,3.0,Audi,1.0986122886681098
 RS3,10.515356887954205,Semi-Auto,2.3978952727983707,Petrol,145.0,30.1,2.5,Audi,1.0986122886681098
